task,regime,task_difficulty,regime_severity,tactile_criticality,nominal_mismatch,damage_load,latency_load,sensor_health_load
tactile_servo_surface_follow,taxel_bias,0.074,0.42,0.91,0.142525,0.036656,0.089578,0.305536
tactile_servo_surface_follow,transient_shear_spike,0.074,0.5,0.91,0.155774,0.081945,0.214986,0.090272
tactile_servo_surface_follow,latency_and_drift,0.074,0.56,0.91,0.169895,0.062394,0.286648,0.24304
tactile_servo_surface_follow,compound_contact_shift,0.074,0.66,0.91,0.22883,0.093193,0.22693,0.222208
fragile_container_handoff,source_matched,0.09,0.0,0.89,0.016052,0.01554,0.007291,0.010416
fragile_container_handoff,low_friction,0.09,0.2,0.89,0.093179,0.158145,0.038886,0.03472
fragile_container_handoff,soft_compliance,0.09,0.28,0.89,0.088783,0.092058,0.048608,0.048608
fragile_container_handoff,texture_aliasing,0.09,0.36,0.89,0.123034,0.099797,0.05833,0.06944
fragile_container_handoff,taxel_bias,0.09,0.42,0.89,0.135294,0.095472,0.072912,0.305536
fragile_container_handoff,transient_shear_spike,0.09,0.5,0.89,0.14332,0.180205,0.174989,0.090272
fragile_container_handoff,latency_and_drift,0.09,0.56,0.89,0.156686,0.150246,0.233318,0.24304
fragile_container_handoff,compound_contact_shift,0.09,0.66,0.89,0.218834,0.225201,0.18471,0.222208
