method,split,regime,task,seed,episodes,success_rate,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,calibration_error
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,4,84,0.309524,0.080143,0.326420,0.097284,0.088885,0.112263
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,5,84,0.369048,0.080599,0.327086,0.096154,0.088121,0.112605
no_tactile_policy,clean_transfer,soft_compliance,cloth_edge_pull,6,84,0.392857,0.081055,0.327752,0.095916,0.088001,0.112947
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,0,84,0.464286,0.078703,0.329872,0.092039,0.085003,0.110319
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,1,84,0.416667,0.079159,0.330538,0.093587,0.086168,0.110661
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,2,84,0.261905,0.079615,0.331204,0.097814,0.089262,0.111004
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,3,84,0.428571,0.080071,0.331870,0.094005,0.086570,0.111346
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,4,84,0.416667,0.080527,0.332536,0.094660,0.087092,0.111688
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,5,84,0.345238,0.080983,0.333202,0.096803,0.088686,0.112030
no_tactile_policy,clean_transfer,soft_compliance,cable_threading,6,84,0.297619,0.081439,0.333868,0.098351,0.089851,0.112372
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,0,84,0.511905,0.076783,0.288495,0.088709,0.086534,0.110661
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,1,84,0.357143,0.077287,0.289233,0.092972,0.089659,0.111036
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,2,84,0.404762,0.077791,0.289971,0.092176,0.089142,0.111411
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,3,84,0.392857,0.078295,0.290709,0.092868,0.081693,0.111786
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,4,84,0.452381,0.078799,0.291447,0.091774,0.080961,0.112162
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,5,84,0.369048,0.079303,0.292185,0.094252,0.082801,0.112537
no_tactile_policy,clean_transfer,soft_compliance,lid_twist_force_control,6,84,0.511905,0.079807,0.292923,0.091075,0.080570,0.112912
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,0,84,0.476190,0.078869,0.313552,0.095106,0.083549,0.112847
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,1,84,0.380952,0.079349,0.314254,0.097863,0.085587,0.113206
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,2,84,0.392857,0.079829,0.314956,0.097941,0.085697,0.113564
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,3,84,0.476190,0.080309,0.315658,0.096234,0.084521,0.113923
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,4,84,0.464286,0.080789,0.316360,0.096908,0.085059,0.114281
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,5,84,0.285714,0.081269,0.317062,0.101748,0.088597,0.114640
no_tactile_policy,clean_transfer,texture_aliasing,slip_limited_grasp,6,84,0.380952,0.081749,0.317764,0.099743,0.087207,0.114998
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,0,84,0.392857,0.084215,0.300216,0.099668,0.083801,0.114861
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,1,84,0.404762,0.084743,0.300990,0.099783,0.083942,0.115252
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,2,84,0.500000,0.085271,0.301764,0.097815,0.082584,0.115644
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,3,84,0.321429,0.085799,0.302538,0.102692,0.086154,0.116036
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,4,84,0.345238,0.086327,0.303312,0.102510,0.086082,0.116427
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,5,84,0.464286,0.086855,0.286077,0.099946,0.084295,0.108815
no_tactile_policy,clean_transfer,texture_aliasing,peg_in_hole_contact_search,6,84,0.500000,0.087383,0.286851,0.099466,0.084008,0.109206
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,0,84,0.345238,0.079925,0.326202,0.104498,0.085262,0.112142
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,1,84,0.452381,0.080387,0.326877,0.094177,0.083645,0.112489
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,2,84,0.357143,0.080849,0.327552,0.096920,0.085671,0.112835
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,3,84,0.297619,0.081311,0.328227,0.098771,0.087055,0.113181
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,4,84,0.380952,0.081773,0.328902,0.097049,0.085867,0.113527
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,5,84,0.273810,0.082235,0.329577,0.100090,0.088107,0.113873
no_tactile_policy,clean_transfer,texture_aliasing,cloth_edge_pull,6,84,0.369048,0.082697,0.330252,0.098072,0.086705,0.114219
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,0,84,0.321429,0.080129,0.332048,0.105009,0.085706,0.111443
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,1,84,0.333333,0.080591,0.332723,0.097070,0.085804,0.111789
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,2,84,0.380952,0.081053,0.333398,0.096241,0.085259,0.112135
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,3,84,0.345238,0.081515,0.334073,0.097497,0.086214,0.112481
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,4,84,0.273810,0.081977,0.334748,0.099644,0.087811,0.112827
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,5,84,0.333333,0.082439,0.335423,0.098519,0.087052,0.113174
no_tactile_policy,clean_transfer,texture_aliasing,cable_threading,6,84,0.416667,0.082901,0.336098,0.096797,0.085864,0.113520
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,0,84,0.369048,0.083711,0.280915,0.097893,0.090905,0.115574
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,1,84,0.345238,0.084221,0.281662,0.098887,0.091678,0.115953
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,2,84,0.392857,0.084731,0.282409,0.098096,0.083161,0.116332
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,3,84,0.428571,0.085241,0.283156,0.097602,0.082862,0.108707
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,4,84,0.404762,0.085751,0.283903,0.098596,0.083634,0.109087
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,5,84,0.511905,0.086261,0.284650,0.096316,0.082050,0.109466
no_tactile_policy,clean_transfer,texture_aliasing,lid_twist_force_control,6,84,0.309524,0.086771,0.285397,0.101775,0.086037,0.109845
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,0,84,0.345238,0.084644,0.313990,0.103925,0.086982,0.113966
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,1,84,0.523810,0.085088,0.314638,0.099810,0.084067,0.114300
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,2,84,0.476190,0.085532,0.315286,0.093344,0.085225,0.114634
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,3,84,0.452381,0.085976,0.315934,0.094288,0.085953,0.114967
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,4,84,0.369048,0.086420,0.316582,0.096720,0.087753,0.115301
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,5,84,0.488095,0.086864,0.317230,0.094092,0.085910,0.115635
no_tactile_policy,clean_transfer,taxel_bias,slip_limited_grasp,6,84,0.500000,0.087308,0.317878,0.094143,0.085996,0.115969
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,0,84,0.285714,0.085274,0.293580,0.104277,0.091665,0.112732
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,1,84,0.369048,0.085766,0.294300,0.102578,0.090497,0.113099
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,2,84,0.357143,0.086258,0.295020,0.103261,0.091043,0.113466
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,3,84,0.392857,0.086750,0.295740,0.102754,0.090733,0.113832
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,4,84,0.428571,0.087242,0.296460,0.102246,0.090422,0.114199
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,5,84,0.428571,0.087734,0.297180,0.094627,0.090754,0.114566
no_tactile_policy,clean_transfer,taxel_bias,peg_in_hole_contact_search,6,84,0.440476,0.088226,0.297900,0.094715,0.090871,0.114933
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,0,84,0.380952,0.085826,0.326829,0.101243,0.085779,0.113348
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,1,84,0.369048,0.086252,0.327450,0.101875,0.086281,0.113670
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,2,84,0.404762,0.086678,0.328071,0.101317,0.085926,0.113991
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,3,84,0.333333,0.087104,0.328692,0.103437,0.087500,0.114312
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,4,84,0.392857,0.087530,0.329313,0.102284,0.086717,0.114634
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,5,84,0.452381,0.087956,0.329934,0.101130,0.085933,0.114955
no_tactile_policy,clean_transfer,taxel_bias,cloth_edge_pull,6,84,0.452381,0.088382,0.330555,0.101465,0.086221,0.115276
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,0,84,0.369048,0.087110,0.334295,0.102285,0.086729,0.113392
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,1,84,0.392857,0.087536,0.334916,0.102024,0.086589,0.113714
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,2,84,0.321429,0.087962,0.335537,0.104144,0.088162,0.114035
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,3,84,0.369048,0.088388,0.336158,0.103289,0.087593,0.114357
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,4,84,0.452381,0.088814,0.336779,0.101540,0.086381,0.114678
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,5,84,0.321429,0.089240,0.337400,0.105148,0.089026,0.114999
no_tactile_policy,clean_transfer,taxel_bias,cable_threading,6,84,0.380952,0.089666,0.320012,0.095991,0.088243,0.115321
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,0,84,0.357143,0.081692,0.287671,0.097761,0.086999,0.111325
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,1,84,0.380952,0.082166,0.288364,0.097537,0.086891,0.111680
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,2,84,0.321429,0.082640,0.289057,0.099396,0.088282,0.112034
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,3,84,0.369048,0.083114,0.289750,0.098577,0.087745,0.112389
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,4,84,0.452381,0.083588,0.290443,0.096865,0.086565,0.112743
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,5,84,0.452381,0.084062,0.291136,0.097237,0.086885,0.113097
no_tactile_policy,clean_transfer,taxel_bias,lid_twist_force_control,6,84,0.392857,0.084536,0.291829,0.099096,0.088277,0.113452
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,0,84,0.380952,0.089887,0.322563,0.099997,0.091635,0.115854
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,1,84,0.392857,0.090397,0.323310,0.100098,0.091765,0.116233
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,2,84,0.440476,0.090907,0.306048,0.099307,0.091251,0.116612
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,3,84,0.511905,0.091417,0.306795,0.097920,0.090310,0.116991
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,4,84,0.428571,0.091927,0.307542,0.100402,0.092154,0.117370
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,5,84,0.392857,0.092437,0.308289,0.101694,0.085137,0.117750
no_tactile_policy,clean_transfer,transient_shear_spike,slip_limited_grasp,6,84,0.452381,0.092947,0.309036,0.100605,0.084409,0.118129
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,0,84,0.369048,0.095161,0.291110,0.102718,0.090553,0.117818
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,1,84,0.345238,0.095719,0.291929,0.103749,0.091358,0.118230
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,2,84,0.416667,0.096277,0.292748,0.102399,0.090448,0.110638
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,3,84,0.416667,0.084829,0.293567,0.101634,0.090824,0.110786
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,4,84,0.428571,0.085387,0.294386,0.101772,0.090986,0.111199
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,5,84,0.297619,0.085945,0.295205,0.105482,0.093719,0.111611
no_tactile_policy,clean_transfer,transient_shear_spike,peg_in_hole_contact_search,6,84,0.321429,0.086503,0.296024,0.105323,0.093666,0.112023
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,0,84,0.321429,0.092839,0.320048,0.109056,0.093326,0.116454
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,1,84,0.321429,0.093331,0.320768,0.109441,0.093658,0.116821
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,2,84,0.357143,0.093823,0.321488,0.100930,0.093347,0.117188
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,3,84,0.285714,0.094315,0.322208,0.103101,0.094965,0.117555
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,4,84,0.380952,0.094807,0.322928,0.101105,0.085579,0.117922
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,5,84,0.345238,0.095299,0.323648,0.102383,0.086554,0.118289
no_tactile_policy,clean_transfer,transient_shear_spike,cloth_edge_pull,6,84,0.285714,0.095791,0.324368,0.104256,0.087957,0.110651
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,0,84,0.392857,0.092143,0.324544,0.106497,0.091457,0.115135
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,1,84,0.333333,0.092635,0.325264,0.108370,0.092860,0.115502
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,2,84,0.333333,0.093127,0.325984,0.108755,0.093192,0.115869
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,3,84,0.345238,0.093619,0.326704,0.108843,0.093310,0.116236
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,4,84,0.309524,0.094111,0.327424,0.102117,0.094285,0.116602
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,5,84,0.369048,0.094603,0.328144,0.101014,0.093545,0.116969
no_tactile_policy,clean_transfer,transient_shear_spike,cable_threading,6,84,0.404762,0.095095,0.328864,0.100506,0.085230,0.117336
no_tactile_policy,clean_transfer,transient_shear_spike,lid_twist_force_control,0,84,0.309524,0.087217,0.278658,0.104136,0.093341,0.113407
no_tactile_policy,clean_transfer,transient_shear_spike,lid_twist_force_control,1,84,0.369048,0.087757,0.279450,0.103070,0.092633,0.113807
no_tactile_policy,clean_transfer,transient_shear_spike,lid_twist_force_control,2,84,0.345238,0.088297,0.280242,0.104087,0.093426,0.114207
no_tactile_policy,clean_transfer,transient_shear_spike,lid_twist_force_control,3,84,0.452381,0.088837,0.281034,0.101830,0.091861,0.114606
no_tactile_policy,clean_transfer,transient_shear_spike,lid_twist_force_control,4,84,0.428571,0.089377,0.281826,0.102847,0.084650,0.115006
