method,split,seed,n,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
action_critical_tactile_transfer_guard_v5,heldout_material,0,80,0.38,0.24009,0.61631,0.814862,0.765001,0.669048,0.669048,0.031535,0.810468,0.039813,0.13774,0.040142,0.076276,0.043595
action_critical_tactile_transfer_guard_v5,heldout_material,1,80,0.38,0.24009,0.61631,0.814862,0.76368,0.667537,0.667537,0.03119,0.809309,0.040107,0.137729,0.040503,0.076382,0.043645
action_critical_tactile_transfer_guard_v5,heldout_material,2,80,0.38,0.24009,0.61631,0.814862,0.763848,0.667077,0.667077,0.031937,0.810812,0.040596,0.137759,0.040408,0.076003,0.044006
action_critical_tactile_transfer_guard_v5,heldout_material,3,80,0.38,0.24009,0.61631,0.814862,0.763003,0.66715,0.66715,0.031918,0.810182,0.039496,0.137523,0.04042,0.075613,0.043513
action_critical_tactile_transfer_guard_v5,heldout_material,4,80,0.38,0.24009,0.61631,0.814862,0.763951,0.66704,0.66704,0.032241,0.810221,0.040576,0.137783,0.04044,0.076027,0.04411
action_critical_tactile_transfer_guard_v5,heldout_material,5,80,0.38,0.24009,0.61631,0.814862,0.763944,0.668258,0.668258,0.031744,0.810452,0.03953,0.137576,0.039897,0.075954,0.043476
action_critical_tactile_transfer_guard_v5,heldout_material,6,80,0.38,0.24009,0.61631,0.814862,0.763548,0.667257,0.667257,0.031683,0.809006,0.040423,0.137462,0.039928,0.075851,0.043779
action_critical_tactile_transfer_guard_v5,heldout_material,7,80,0.38,0.24009,0.61631,0.814862,0.76419,0.668017,0.668017,0.031056,0.810472,0.040368,0.137723,0.040255,0.076209,0.043642
action_critical_tactile_transfer_guard_v5,heldout_material,8,80,0.38,0.24009,0.61631,0.814862,0.763827,0.667812,0.667812,0.031473,0.809418,0.039937,0.13771,0.040286,0.075919,0.043571
action_critical_tactile_transfer_guard_v5,heldout_material,9,80,0.38,0.24009,0.61631,0.814862,0.765185,0.669549,0.669549,0.031018,0.81026,0.040043,0.137341,0.039713,0.076026,0.043418
action_critical_tactile_transfer_guard_v5,heldout_object,0,80,0.28,0.171086,0.59871,0.819478,0.769965,0.68329,0.68329,0.027077,0.815045,0.034273,0.127667,0.037687,0.074844,0.039471
action_critical_tactile_transfer_guard_v5,heldout_object,1,80,0.28,0.171086,0.59871,0.819478,0.769477,0.682821,0.682821,0.02729,0.813192,0.034046,0.127905,0.037779,0.074607,0.039423
action_critical_tactile_transfer_guard_v5,heldout_object,2,80,0.28,0.171086,0.59871,0.819478,0.769098,0.681496,0.681496,0.027756,0.813696,0.035057,0.127872,0.037815,0.074476,0.039946
action_critical_tactile_transfer_guard_v5,heldout_object,3,80,0.28,0.171086,0.59871,0.819478,0.768837,0.681497,0.681497,0.027956,0.814706,0.034457,0.12809,0.037636,0.075321,0.03992
action_critical_tactile_transfer_guard_v5,heldout_object,4,80,0.28,0.171086,0.59871,0.819478,0.769588,0.682353,0.682353,0.028215,0.815761,0.034173,0.127519,0.038201,0.074767,0.039857
action_critical_tactile_transfer_guard_v5,heldout_object,5,80,0.28,0.171086,0.59871,0.819478,0.768712,0.681519,0.681519,0.027953,0.813886,0.034328,0.127412,0.038098,0.074912,0.039843
action_critical_tactile_transfer_guard_v5,heldout_object,6,80,0.28,0.171086,0.59871,0.819478,0.768505,0.680889,0.680889,0.028316,0.813962,0.034406,0.12788,0.03835,0.075063,0.040048
action_critical_tactile_transfer_guard_v5,heldout_object,7,80,0.28,0.171086,0.59871,0.819478,0.769726,0.683102,0.683102,0.027672,0.812969,0.0339,0.127647,0.037707,0.074482,0.039468
action_critical_tactile_transfer_guard_v5,heldout_object,8,80,0.28,0.171086,0.59871,0.819478,0.769649,0.682442,0.682442,0.027709,0.815049,0.034211,0.128062,0.038368,0.074753,0.039714
action_critical_tactile_transfer_guard_v5,heldout_object,9,80,0.28,0.171086,0.59871,0.819478,0.768476,0.681354,0.681354,0.027888,0.813408,0.034451,0.127374,0.037746,0.074808,0.039814
action_critical_tactile_transfer_guard_v5,latency_contact_shift,0,80,0.76,0.299191,0.70671,0.801019,0.739804,0.631738,0.631738,0.039496,0.803896,0.038636,0.173201,0.043598,0.080384,0.04694
action_critical_tactile_transfer_guard_v5,latency_contact_shift,1,80,0.76,0.299191,0.70671,0.801019,0.739942,0.632639,0.632639,0.038143,0.803714,0.038964,0.172201,0.043117,0.080196,0.046522
action_critical_tactile_transfer_guard_v5,latency_contact_shift,2,80,0.76,0.299191,0.70671,0.801019,0.739145,0.631237,0.631237,0.038961,0.803079,0.038945,0.172936,0.043467,0.080008,0.046794
action_critical_tactile_transfer_guard_v5,latency_contact_shift,3,80,0.76,0.299191,0.70671,0.801019,0.739498,0.631888,0.631888,0.038335,0.804267,0.038916,0.173094,0.043304,0.080191,0.046587
action_critical_tactile_transfer_guard_v5,latency_contact_shift,4,80,0.76,0.299191,0.70671,0.801019,0.738577,0.630457,0.630457,0.038823,0.804759,0.039179,0.172921,0.043886,0.079758,0.046833
action_critical_tactile_transfer_guard_v5,latency_contact_shift,5,80,0.76,0.299191,0.70671,0.801019,0.73812,0.630196,0.630196,0.038799,0.804675,0.039216,0.172637,0.043373,0.079876,0.046809
action_critical_tactile_transfer_guard_v5,latency_contact_shift,6,80,0.76,0.299191,0.70671,0.801019,0.738312,0.630017,0.630017,0.039139,0.803462,0.03934,0.173039,0.043393,0.080142,0.047021
action_critical_tactile_transfer_guard_v5,latency_contact_shift,7,80,0.76,0.299191,0.70671,0.801019,0.73865,0.630344,0.630344,0.039281,0.804413,0.038941,0.173114,0.043904,0.080652,0.047061
action_critical_tactile_transfer_guard_v5,latency_contact_shift,8,80,0.76,0.299191,0.70671,0.801019,0.739627,0.631925,0.631925,0.038605,0.80434,0.039,0.173053,0.043074,0.080118,0.046675
action_critical_tactile_transfer_guard_v5,latency_contact_shift,9,80,0.76,0.299191,0.70671,0.801019,0.739304,0.630889,0.630889,0.039587,0.804567,0.038992,0.173113,0.043781,0.080443,0.047134
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,0,80,0.68,0.275466,0.68031,0.804139,0.74654,0.642138,0.642138,0.03664,0.807982,0.037541,0.16696,0.042661,0.081261,0.045616
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,1,80,0.68,0.275466,0.68031,0.804139,0.746472,0.642453,0.642453,0.036729,0.80792,0.037154,0.166289,0.042745,0.081125,0.045484
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,2,80,0.68,0.275466,0.68031,0.804139,0.746056,0.642326,0.642326,0.03588,0.80784,0.037422,0.166577,0.042286,0.080937,0.045217
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,3,80,0.68,0.275466,0.68031,0.804139,0.746595,0.642495,0.642495,0.036926,0.80731,0.037067,0.16658,0.042942,0.08054,0.045432
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,4,80,0.68,0.275466,0.68031,0.804139,0.745173,0.640468,0.640468,0.037286,0.808589,0.037802,0.166531,0.042534,0.080874,0.045853
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,5,80,0.68,0.275466,0.68031,0.804139,0.745794,0.641768,0.641768,0.036423,0.806905,0.037508,0.166002,0.042794,0.080545,0.045414
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,6,80,0.68,0.275466,0.68031,0.804139,0.746639,0.642632,0.642632,0.036729,0.807541,0.037253,0.166399,0.042626,0.08054,0.045404
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,7,80,0.68,0.275466,0.68031,0.804139,0.74579,0.641721,0.641721,0.036749,0.806949,0.037482,0.166185,0.042158,0.081195,0.045569
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,8,80,0.68,0.275466,0.68031,0.804139,0.747138,0.642789,0.642789,0.03658,0.807439,0.037921,0.166319,0.04231,0.080809,0.045624
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,9,80,0.68,0.275466,0.68031,0.804139,0.744596,0.639736,0.639736,0.037282,0.807323,0.037898,0.166328,0.042796,0.081267,0.045985
conformal_tactile_risk_control,clean_transfer,0,80,0.06,0.121263,0.54851,0.621943,0.668621,0.564229,0.564229,0.038105,0.61609,0.036281,0.164432,0.042403,0.088778,0.046963
conformal_tactile_risk_control,clean_transfer,1,80,0.06,0.121263,0.54851,0.621943,0.668517,0.563723,0.563723,0.037648,0.616615,0.036869,0.164489,0.042837,0.088956,0.047106
conformal_tactile_risk_control,clean_transfer,2,80,0.06,0.121263,0.54851,0.621943,0.668543,0.56344,0.56344,0.038471,0.616379,0.036977,0.164049,0.042721,0.08889,0.047403
conformal_tactile_risk_control,clean_transfer,3,80,0.06,0.121263,0.54851,0.621943,0.669203,0.564126,0.564126,0.037905,0.616198,0.037011,0.164615,0.042928,0.088993,0.047263
conformal_tactile_risk_control,clean_transfer,4,80,0.06,0.121263,0.54851,0.621943,0.669551,0.564486,0.564486,0.038318,0.61546,0.036909,0.164043,0.043114,0.088526,0.0473
conformal_tactile_risk_control,clean_transfer,5,80,0.06,0.121263,0.54851,0.621943,0.669194,0.564434,0.564434,0.038032,0.615762,0.036735,0.164471,0.04269,0.088481,0.047086
conformal_tactile_risk_control,clean_transfer,6,80,0.06,0.121263,0.54851,0.621943,0.668155,0.563749,0.563749,0.037902,0.615595,0.036318,0.164457,0.042577,0.088915,0.04695
conformal_tactile_risk_control,clean_transfer,7,80,0.06,0.121263,0.54851,0.621943,0.668449,0.563576,0.563576,0.03831,0.616199,0.036862,0.164006,0.042733,0.08833,0.047206
conformal_tactile_risk_control,clean_transfer,8,80,0.06,0.121263,0.54851,0.621943,0.668629,0.564159,0.564159,0.037756,0.615554,0.036508,0.164181,0.04277,0.088814,0.046974
conformal_tactile_risk_control,clean_transfer,9,80,0.06,0.121263,0.54851,0.621943,0.669049,0.564147,0.564147,0.038403,0.61579,0.036259,0.164651,0.043301,0.089246,0.04723
conformal_tactile_risk_control,combined_stress,0,80,0.88,0.362293,0.75471,0.578455,0.598252,0.428155,0.428155,0.081388,0.591946,0.053006,0.279788,0.063147,0.104062,0.07286
conformal_tactile_risk_control,combined_stress,1,80,0.88,0.362293,0.75471,0.578455,0.596815,0.426762,0.426762,0.081954,0.591583,0.052639,0.279461,0.063332,0.10394,0.07291
conformal_tactile_risk_control,combined_stress,2,80,0.88,0.362293,0.75471,0.578455,0.597884,0.427572,0.427572,0.081933,0.592459,0.052992,0.279037,0.063519,0.104277,0.073116
conformal_tactile_risk_control,combined_stress,3,80,0.88,0.362293,0.75471,0.578455,0.597347,0.427262,0.427262,0.082422,0.593136,0.052214,0.279617,0.06339,0.104633,0.073038
conformal_tactile_risk_control,combined_stress,4,80,0.88,0.362293,0.75471,0.578455,0.597132,0.426491,0.426491,0.08304,0.592175,0.052555,0.279691,0.063501,0.104419,0.07335
conformal_tactile_risk_control,combined_stress,5,80,0.88,0.362293,0.75471,0.578455,0.59699,0.426471,0.426471,0.082862,0.592189,0.052442,0.279665,0.063609,0.104519,0.073275
conformal_tactile_risk_control,combined_stress,6,80,0.88,0.362293,0.75471,0.578455,0.596516,0.426056,0.426056,0.083233,0.59338,0.05226,0.278882,0.06375,0.104819,0.0734
conformal_tactile_risk_control,combined_stress,7,80,0.88,0.362293,0.75471,0.578455,0.597641,0.426679,0.426679,0.082821,0.593152,0.053099,0.279543,0.063609,0.104549,0.073516
conformal_tactile_risk_control,combined_stress,8,80,0.88,0.362293,0.75471,0.578455,0.598152,0.427296,0.427296,0.082922,0.592073,0.052923,0.279579,0.063645,0.104198,0.073425
conformal_tactile_risk_control,combined_stress,9,80,0.88,0.362293,0.75471,0.578455,0.5973,0.427262,0.427262,0.081721,0.592243,0.052485,0.279432,0.063617,0.104932,0.072979
conformal_tactile_risk_control,friction_compliance_shift,0,80,0.58,0.26869,0.66551,0.594746,0.622737,0.479592,0.479592,0.060492,0.603326,0.047762,0.234782,0.054443,0.095886,0.061421
conformal_tactile_risk_control,friction_compliance_shift,1,80,0.58,0.26869,0.66551,0.594746,0.62271,0.478515,0.478515,0.061558,0.602851,0.048095,0.235453,0.054835,0.096301,0.062023
conformal_tactile_risk_control,friction_compliance_shift,2,80,0.58,0.26869,0.66551,0.594746,0.623869,0.479756,0.479756,0.061742,0.603889,0.047914,0.234781,0.055213,0.096274,0.06205
conformal_tactile_risk_control,friction_compliance_shift,3,80,0.58,0.26869,0.66551,0.594746,0.622468,0.478343,0.478343,0.06135,0.603032,0.048329,0.235039,0.054816,0.095869,0.061962
conformal_tactile_risk_control,friction_compliance_shift,4,80,0.58,0.26869,0.66551,0.594746,0.623121,0.478556,0.478556,0.061356,0.603792,0.049047,0.23482,0.054555,0.09618,0.062267
conformal_tactile_risk_control,friction_compliance_shift,5,80,0.58,0.26869,0.66551,0.594746,0.621758,0.47791,0.47791,0.061077,0.603404,0.048168,0.234938,0.054622,0.096277,0.061862
conformal_tactile_risk_control,friction_compliance_shift,6,80,0.58,0.26869,0.66551,0.594746,0.623327,0.47988,0.47988,0.060207,0.602997,0.048193,0.234797,0.054568,0.096447,0.061601
conformal_tactile_risk_control,friction_compliance_shift,7,80,0.58,0.26869,0.66551,0.594746,0.623534,0.479288,0.479288,0.061698,0.603751,0.047913,0.234813,0.055556,0.096571,0.062123
conformal_tactile_risk_control,friction_compliance_shift,8,80,0.58,0.26869,0.66551,0.594746,0.622816,0.479267,0.479267,0.060616,0.602441,0.048122,0.234923,0.054403,0.09641,0.06169
conformal_tactile_risk_control,friction_compliance_shift,9,80,0.58,0.26869,0.66551,0.594746,0.623889,0.480109,0.480109,0.06081,0.602871,0.048329,0.234518,0.054806,0.096009,0.061803
conformal_tactile_risk_control,heldout_geometry,0,80,0.48,0.23744,0.65071,0.60018,0.632072,0.49882,0.49882,0.05559,0.607229,0.042691,0.221065,0.052198,0.094231,0.057305
conformal_tactile_risk_control,heldout_geometry,1,80,0.48,0.23744,0.65071,0.60018,0.632361,0.499008,0.499008,0.05612,0.606572,0.042709,0.220856,0.051862,0.094252,0.057462
conformal_tactile_risk_control,heldout_geometry,2,80,0.48,0.23744,0.65071,0.60018,0.632854,0.499826,0.499826,0.055823,0.606616,0.042175,0.221043,0.052226,0.09463,0.057262
conformal_tactile_risk_control,heldout_geometry,3,80,0.48,0.23744,0.65071,0.60018,0.631906,0.498985,0.498985,0.05578,0.605685,0.042252,0.220857,0.052061,0.094211,0.057185
conformal_tactile_risk_control,heldout_geometry,4,80,0.48,0.23744,0.65071,0.60018,0.632661,0.49966,0.49966,0.056199,0.606109,0.042091,0.220726,0.052393,0.093653,0.057199
conformal_tactile_risk_control,heldout_geometry,5,80,0.48,0.23744,0.65071,0.60018,0.632283,0.499607,0.499607,0.055745,0.606214,0.04183,0.221066,0.052223,0.094096,0.057008
conformal_tactile_risk_control,heldout_geometry,6,80,0.48,0.23744,0.65071,0.60018,0.632588,0.500169,0.500169,0.05529,0.606826,0.041837,0.221345,0.051783,0.094279,0.056845
conformal_tactile_risk_control,heldout_geometry,7,80,0.48,0.23744,0.65071,0.60018,0.632209,0.499441,0.499441,0.05622,0.605782,0.041912,0.220598,0.052003,0.094012,0.057164
conformal_tactile_risk_control,heldout_geometry,8,80,0.48,0.23744,0.65071,0.60018,0.633225,0.499954,0.499954,0.055976,0.604778,0.042539,0.220821,0.052177,0.094386,0.057404
conformal_tactile_risk_control,heldout_geometry,9,80,0.48,0.23744,0.65071,0.60018,0.633494,0.500647,0.500647,0.055947,0.60572,0.042028,0.221186,0.052088,0.093672,0.057062
conformal_tactile_risk_control,heldout_material,0,80,0.38,0.24009,0.61631,0.603234,0.639899,0.505421,0.505421,0.055218,0.60602,0.048669,0.208221,0.051594,0.09413,0.059371
conformal_tactile_risk_control,heldout_material,1,80,0.38,0.24009,0.61631,0.603234,0.639717,0.50502,0.50502,0.055366,0.606963,0.048631,0.208351,0.052278,0.093572,0.059375
conformal_tactile_risk_control,heldout_material,2,80,0.38,0.24009,0.61631,0.603234,0.641314,0.506927,0.506927,0.055582,0.605827,0.048214,0.208165,0.051732,0.094552,0.059412
conformal_tactile_risk_control,heldout_material,3,80,0.38,0.24009,0.61631,0.603234,0.640582,0.506238,0.506238,0.055476,0.606879,0.048158,0.208095,0.052104,0.094069,0.059305
conformal_tactile_risk_control,heldout_material,4,80,0.38,0.24009,0.61631,0.603234,0.63878,0.504475,0.504475,0.05532,0.606205,0.048019,0.208499,0.052109,0.094443,0.059266
conformal_tactile_risk_control,heldout_material,5,80,0.38,0.24009,0.61631,0.603234,0.640653,0.506499,0.506499,0.054736,0.60615,0.048656,0.207757,0.051568,0.094237,0.059219
conformal_tactile_risk_control,heldout_material,6,80,0.38,0.24009,0.61631,0.603234,0.640209,0.505984,0.505984,0.055689,0.605289,0.047916,0.208212,0.051895,0.094112,0.059272
conformal_tactile_risk_control,heldout_material,7,80,0.38,0.24009,0.61631,0.603234,0.639283,0.504908,0.504908,0.055124,0.606733,0.048568,0.208059,0.051838,0.093894,0.059283
conformal_tactile_risk_control,heldout_material,8,80,0.38,0.24009,0.61631,0.603234,0.639334,0.504457,0.504457,0.055665,0.606324,0.048783,0.20791,0.052034,0.094477,0.059673
conformal_tactile_risk_control,heldout_material,9,80,0.38,0.24009,0.61631,0.603234,0.638967,0.504946,0.504946,0.05478,0.606617,0.048301,0.208246,0.051701,0.093911,0.059053
conformal_tactile_risk_control,heldout_object,0,80,0.28,0.171086,0.59871,0.611318,0.650614,0.53271,0.53271,0.045189,0.611776,0.039251,0.193735,0.046742,0.091198,0.051369
conformal_tactile_risk_control,heldout_object,1,80,0.28,0.171086,0.59871,0.611318,0.650285,0.532287,0.532287,0.045262,0.612229,0.039003,0.194171,0.04705,0.091617,0.051406
conformal_tactile_risk_control,heldout_object,2,80,0.28,0.171086,0.59871,0.611318,0.650162,0.531791,0.531791,0.045704,0.611919,0.039463,0.193662,0.046953,0.091433,0.051689
conformal_tactile_risk_control,heldout_object,3,80,0.28,0.171086,0.59871,0.611318,0.65074,0.531912,0.531912,0.045906,0.611366,0.039982,0.193834,0.046846,0.091245,0.05191
conformal_tactile_risk_control,heldout_object,4,80,0.28,0.171086,0.59871,0.611318,0.650399,0.531358,0.531358,0.046544,0.611218,0.039831,0.193567,0.047012,0.0916,0.05215
conformal_tactile_risk_control,heldout_object,5,80,0.28,0.171086,0.59871,0.611318,0.649905,0.531448,0.531448,0.045176,0.611198,0.039694,0.194085,0.047018,0.091749,0.05166
conformal_tactile_risk_control,heldout_object,6,80,0.28,0.171086,0.59871,0.611318,0.650076,0.531341,0.531341,0.046111,0.611738,0.039775,0.193758,0.046818,0.091199,0.05189
conformal_tactile_risk_control,heldout_object,7,80,0.28,0.171086,0.59871,0.611318,0.650594,0.532426,0.532426,0.045355,0.61229,0.0395,0.194019,0.046573,0.091172,0.051499
conformal_tactile_risk_control,heldout_object,8,80,0.28,0.171086,0.59871,0.611318,0.650151,0.531128,0.531128,0.046136,0.611535,0.040014,0.193627,0.04705,0.09164,0.052092
conformal_tactile_risk_control,heldout_object,9,80,0.28,0.171086,0.59871,0.611318,0.649891,0.531519,0.531519,0.045558,0.610572,0.039457,0.193872,0.047136,0.091147,0.051603
conformal_tactile_risk_control,latency_contact_shift,0,80,0.76,0.299191,0.70671,0.586773,0.608476,0.452734,0.452734,0.072328,0.596963,0.047008,0.261499,0.058729,0.100715,0.066456
conformal_tactile_risk_control,latency_contact_shift,1,80,0.76,0.299191,0.70671,0.586773,0.609131,0.452911,0.452911,0.072469,0.596928,0.047376,0.261434,0.059066,0.101117,0.06675
